sourcetype,PROFILE_CODE,Classification,Flow_Type
dbx:CerillionBahamasOracle,FX78,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,FX79,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,FX80,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,F78P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,F78R,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,F79P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,F79R,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,BNF4,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,BNF5,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,BNF6,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,BF4P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,48,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,51,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,54,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,55,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,62,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,63,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,BN71,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,B71R,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,B71P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,BN16,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,FX27,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,F27R,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,F27P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,B81P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,BN01,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,BN02,Change,WorkOrder_Flow
