sourcetype,PROFILE_CODE,Classification,Flow_Type
dbx:CerillionBahamasOracle,307,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,311,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,313,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,316,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,321,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,323,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,324,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,326,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,327,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,328,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,CSW1,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,PSW1,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,RSW1,Change,WorkOrder_Flow
