hostName,queueName
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeamotoroladacCU.request"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeabillingnotification.request"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeasqlbillingnotification.backup"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeaciscoSAANMS.backup"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeacerillionisubscribe.backup"
cursmp01,"JMS: SMP1_SVR SMP-JMS Queue Pending for Queue samp.ordermgr.XmlResponseQueue_Trinidad"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeamiddleware.request"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeacwcaaa.request"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeasafari.backup"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeasqlbillingnotification.request"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeacwcaaa.backup"
cursmp01,"JMS: SMP1_SVR SMP-JMS Queue Pending for Queue samp.sb.ProvReplyErrorQueue"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeacerillionnotify.request"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeasigmadpm10.error"
cursmp01,"JMS: SMP1_SVR SMP-JMS Queue Pending for Queue samp.ordermgr.XmlRequestErrorQueue"
cursmp01,"JMS: WF_SVR1 JWF-JMS Queue Pending for Queue jwf.svcOrderRequest"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeanortelcs2k.error"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeaseachange.request"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeaconaxcontego.request"
cursmp02,"JMS: SMP2_SVR SMP-JMS Queue Pending for Queue com.sigma.jms.samp.ordermgr.WHResponseQueue"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeamotoroladacCU.backup"
cursmp02,"JMS: SMP2_SVR SMP-JMS Queue Pending for Queue samp.ordermgr.WfRetryQueue"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeacalix.request"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeamotoroladacJM.error"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeaconsumableresources.backup"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeamotoroladacJM.request"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeastreamwide.error"
cursmp02,"JMS: SMP2_SVR SMP-JMS Queue Pending for Queue samp.stm.SpmNotifyErrorQueue"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeamotoroladacCU.backup"
cursmp02,"JMS: WF_SVR2 JWF-JMS Queue Pending for Queue jwf.senderBackup"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeacerillionisubscribe.request"
cursmp01,"JMS: SMP1_SVR SMP-JMS Queue Pending for Queue samp.stm.SpmNotifyQueue"
cursmp02,"JMS: SMP2_SVR SMP-JMS Queue Pending for Queue samp.ordermgr.XmlResponseQueue_Jamaica"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeastreamwide.request"
cursmp02,"JMS: WF_SVR2 JWF-JMS Queue Pending for Queue jwf.replytask"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeastreamwide.request"
cursmp01,"JMS: SMP1_SVR SMP-JMS Queue Pending for Queue samp.ordermgr.XmlResponseQueue"
cursmp02,"JMS: SMP2_SVR SMP-JMS Queue Pending for Queue samp.ordermgr.XmlRequestErrorQueue"
cursmp02,"JMS: SMP2_SVR SMP-JMS Queue Pending for Queue samp.ordermgr.XmlResponseQueue_Barbados"
cursmp02,"JMS: SMP2_SVR SMP-JMS Queue Pending for Queue samp.ath.ReplyQueue"
cursmp01,"JMS: SMP1_SVR SMP-JMS Queue Pending for Queue samp.stm.SSNBatchErrorQueue"
cursmp02,"JMS: SMP2_SVR SMP-JMS Queue Pending for Queue samp.ispp.ReplyQueue"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeacwcaaa.backup"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeamotoroladacTR.request"
cursmp02,"JMS: SMP2_SVR SMP-JMS Queue Pending for Queue samp.ordermgr.XmlRequestQueue"
cursmp01,"JMS: WF_SVR1 JWF-JMS Queue Pending for Queue jwf.senderBackup"
cursmp02,"JMS: SMP2_SVR SMP-JMS Queue Pending for Queue samp.risp.MediatorQueue"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeabillingnotification.error"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeabillingnotification.error"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeaconsumableresources.error"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeamotoroladacTR.error"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeaseachange.backup"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeacwcaaa.error"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeacomversengvm.backup"
cursmp01,"JMS: WF_SVR1 JWF-JMS Queue Pending for Queue jwf.latestatusEvent"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeacerillionnotify.backup"
cursmp02,"JMS: SMP2_SVR SMP-JMS Queue Pending for Queue samp.stm.SpmNotifyQueue"
cursmp02,"JMS: SMP2_SVR SMP-JMS Queue Pending for Queue samp.stm.ExternalSyncQueue"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeasafari.request"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeasigmadpm10.error"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeasurgemailldap.request"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeamiddleware.request"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeaciscoSAANMS.request"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeasafari.request"
cursmp01,"JMS: SMP1_SVR SMP-JMS Queue Pending for Queue samp.ordermgr.XmlResponseQueue_Curacao"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeacerillionnotify.request"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeaseachange.backup"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeasurgemailldap.backup"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeaconaxcontego.backup"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeasurgemailldap.request"
cursmp02,"JMS: SMP2_SVR SMP-JMS Queue Pending for Queue samp.sb.ProvReplyErrorQueue"
cursmp02,"JMS: SMP2_SVR SMP-JMS Queue Pending for Queue com.sigma.jms.samp.ordermgr.WHXmlRequestQueue"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeacalix.request"
cursmp02,"JMS: SMP2_SVR SMP-JMS Queue Pending for Queue samp.sb.ProvReplyQueue"
cursmp02,"JMS: SMP2_SVR SMP-JMS Queue Pending for Queue samp.stm.SSNBatchQueue"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeamotoroladacGR.request"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeacomversengvm.error"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeasigmadpm10.backup"
cursmp02,"JMS: SMP2_SVR SMP-JMS Queue Pending for Queue samp.ordermgr.ScheduledOrderHandler"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeacerillionisubscribe.request"
cursmp01,"JMS: SMP1_SVR SMP-JMS Queue Pending for Queue samp.stm.SpmNotifyErrorQueue"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeanortelcs2k.backup"
cursmp02,"JMS: SMP2_SVR SMP-JMS Queue Pending for Queue samp.ordermgr.XmlResponseQueue_Grenada"
cursmp01,"JMS: SMP1_SVR SMP-JMS Queue Pending for Queue samp.ordermgr.OrderReadyQueue"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeabillingnotification.backup"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeasigmadpm10.backup"
cursmp01,"JMS: SMP1_SVR SMP-JMS Queue Pending for Queue samp.ordermgr.ScheduledOrderHandler"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeabillingnotification.backup"
cursmp01,"JMS: SMP1_SVR SMP-JMS Queue Pending for Queue samp.ordermgr.XmlRequestQueue"
